Måleskala;Enhet;MåleskalaNavn
SO;VSO;KA-SO
SI;VSI;HS-SI
SI;VSI;nan-SI
SI;VSI;NH-SI
SI;VSI;PI-SI
SO;VSO;BA-SO
SO;VSO;BP-SO
SO;VSO;FF-SO
SO;VSO;IP-SO
SO;VSO;KY-SO
SO;VSO;MS-SO
SO;VSO;SE-SO
SO;VSO;AD-SO
SO;VSO;SO-SO
SO;VSO;VP-SO
SO;VSO;YK-SO
SI;VSI;BK-SI
SI;VSI;DK-SI
SI;VSI;FK-SI
SI;VSI;HV-SI
SI;VSI;HY-SI
SI;VSI;IS-SI
SI;VSI;IT-SI
SI;VSI;KT-SI
SI;VSI;LT-SI
SI;VSI;OV-SI
SI;VSI;PF-SI
SI;VSI;SN-SI
SI;VSI;SO-SI
SI;VSI;ST-SI
SI;VSI;VT-SI
SI;VSI;ED-SI
SI;VSI;EF-SI
SI;VSI;EL-SI
SI;VSI;EP-SI
SI;VSI;ES-SI
SI;VSI;ET-SI
SO;VSO;AN-SO
SO;VSO;BU-SO
SO;VSO;DA-SO
SO;VSO;DL-SO
SO;VSO;FI-SO
SO;VSO;FT-SO
SO;VSO;FU-SO
SO;VSO;GS-SO
SO;VSO;HF-SO
SO;VSO;HU-SO
SO;VSO;IB-SO
SO;VSO;IF-SO
SO;VSO;JF-SO
SO;VSO;JV-SO
SO;VSO;KI-SO
SO;VSO;MF-SO
SO;VSO;NB-SO
SO;VSO;NE-SO
SO;VSO;NG-SO
SO;VSO;NT-SO
SO;VSO;OF-SO
SO;VSO;OM-SO
SO;VSO;OR-SO
SO;VSO;RU-SO
SO;VSO;SA-SO
SO;VSO;SF-SO
SO;VSO;SM-SO
SO;VSO;SS-SO
SO;VSO;SU-SO
SO;VSO;SV-SO
SO;VSO;TF-SO
SO;VSO;TH-SO
SO;VSO;TO-SO
SO;VSO;TU-SO
SO;VSO;TV-SO
SO;VSO;UE-SO
SO;VSO;UF-SO
SO;VSO;VF-SO
SO;VSO;VI-SO
SO;VSO;VM-SO
SO;VSO;VS-SO
SO;VSO;EB-SO
SO;VSO;EC-SO
SO;VSO;EI-SO
SO;VSO;EU-SO
SO;VSO;FV-SO
SO;VSO;HE-SO
SO;VSO;SI-SO
SO;VSO;VA-SO
SO;VSO;DW-SO
SO;VSO;DT-SO
SI;VSI;NF-SI
SI;VSI;BA-SI
SI;VSI;TP-SI
SO;VSO;RA-SO
SO;VSO;RD-SO
SO;VSO;RK-SO
SO;VSO;EO-SO
SO;VSO;US-SO
SO;VSO;BD-SO
SO;VSO;FR-SO
SO;VSO;MB-SO
SO;VSO;SR-SO
SO;VSO;LH-SO
SO;VSO;AI-SO
SO;VSO;JP-SO
SI;VSI;BM-SI
SI;VSI;HR-SI
SI;VSI;MK-SI
SI;VSI;MS-SI
SI;VSI;MT-SI
SI;VSI;MV-SI
SI;VSI;MY-SI
SI;VSI;KP-SI
SI;VSI;KR-SI
SO;VSO;HA-SO
SO;VSO;HG-SO
SO;VSO;HH-SO
SO;VSO;HM-SO
SO;VSO;HT-SO
SI;VSI;FY-SI
SI;VSI;MG-SI
SI;VSI;AJ-SI
SI;VSI;AS-SI
SI;VSI;HG-SI
SI;VSI;HI-SI
SI;VSI;SF-SI
SI;VSI;UM-SI
SO;VSO;OB-SO
SO;VSO;AG-SO
SO;VSO;AH-SO
SO;VSO;AY-SO
SO;VSO;BT-SO
SO;VSO;DV-SO
SI;VSI;FS-SI
SI;VSI;AD-SI
SO;VSO;VE-SO
SI;VSI;AA-SI
SI;VSI;UT-SI
SI;VSI;VD-SI
SI;VSI;ØD-SI
SO;VSO;IE-SO
SO;VSO;KU-SO
SO;VSO;ST-SO
SO;VSO;TE-SO
D0;OA;D0
D1a;OA;D1a
D1b;OA;D1b
T0;T;T0
T1a;T;T1a
T1b;T;T1b
T1c;T;T1c
P4;P;P4
P5;P;P5
P6a;P;P6a
P6b;P;P6b
P7;P;P7
P8;P;P8
P9a;P;P9a
P9b;P;P9b
P6c;P;P6c
B;B;B
K;OA;K
