Variabelnavn_kortkode;Måleskala
LM-KA;KA-SO
LM-EH;EH-SO
LM-HR;HR-SO
KM-HS;HS-SI
NO-L3;D0
NO-L3;T0
RA-MB-JUNIcomm;P6c
RA-MB-JUNIcomm;B
SA-TT;P9a
SA-AB;P5
SA-AD;AD-SI
LO-BH;D0
LO-BH;T0
LO-BS;D0
LO-BS;T0
LO-AI;D0
LO-AI;T0
LO-AS;D0
LO-AS;T0
LO-DB;D0
LO-DB;T0
LO-IS;D0
LO-IS;T0
LO-MI;D0
LO-MI;T0
LO-TB;D0
LO-TB;T0
LO-TM;D0
LO-TM;T0
LO-TS;D0
LO-TS;T0
LO-DV;D0
LO-DV;T0
LO-EB;D0
LO-EB;T0
LO-FK;D0
LO-FK;T0
LO-FO;D0
LO-FO;T0
LO-GG;D0
LO-GG;T0
LO-JE;D0
LO-JE;T0
LO-KB;D0
LO-KB;T0
LO-KL;D0
LO-KL;T0
LO-KU;D0
LO-KU;T0
LO-SK;D0
LO-SK;T0
LO-IØ;D0
LO-IØ;T0
LO-IB;D0
LO-IB;T0
LO-KA;D0
LO-KA;T0
LO-LA;D0
LO-LA;T0
LO-BE;D0
LO-BE;T0
LO-ER;D0
LO-ER;T0
LO-FG;D0
LO-FG;T0
LO-FL;D0
LO-FL;T0
LO-HG;D0
LO-HG;T0
LO-HØ;D0
LO-HØ;T0
LO-KI;D0
LO-KI;T0
LO-PA;D0
LO-PA;T0
LO-SF;D0
LO-SF;T0
LO-SL;D0
LO-SL;T0
LO-ST;D0
LO-ST;T0
LO-FA;D0
LO-FA;T0
LO-LB;D0
LO-LB;T0
LO-MY;D0
LO-MY;T0
LO-TU;D0
LO-TU;T0
NO-BS;P6b
NO-NB;P6b
NO-RV;D0
NO-RV;T0
RM-NH;NH-SI
RM-PI;PI-SI
RM-BA;BA-SO
RM-BP;BP-SO
RM-FF;FF-SO
RM-IP;IP-SO
RM-KY;KY-SO
RM-MS;MS-SO
RM-SE;SE-SO
RM-SO;SO-SO
RM-VP;VP-SO
RM-YK;YK-SO
LM-BK;BK-SI
LM-DK;DK-SI
LM-FK;FK-SI
LM-HV;HV-SI
LM-HY;HY-SI
LM-IS;IS-SI
LM-IT;IT-SI
LM-KT;KT-SI
LM-LT;LT-SI
LM-OV;OV-SI
LM-PF;PF-SI
LM-SN;SN-SI
LM-SO;SO-SI
LM-ST;ST-SI
LM-VT;VT-SI
LM-ED;ED-SI
LM-EF;EF-SI
LM-EL;EL-SI
LM-EP;EP-SI
LM-ES;ES-SI
LM-ET;ET-SI
LM-IG;B
LM-II;B
LM-IU;B
LM-AN;AN-SO
LM-BU;BU-SO
LM-DA;DA-SO
LM-DL;DL-SO
LM-FI;FI-SO
LM-FT;FT-SO
LM-FU;FU-SO
LM-GS;GS-SO
LM-HF;HF-SO
LM-HU;HU-SO
LM-IB;IB-SO
LM-IF;IF-SO
LM-JF;JF-SO
LM-JV;JV-SO
LM-KI;KI-SO
LM-MF;MF-SO
LM-NB;NB-SO
LM-NE;NE-SO
LM-NG;NG-SO
LM-NT;NT-SO
LM-OF;OF-SO
LM-OM;OM-SO
LM-OR;OR-SO
LM-RU;RU-SO
LM-SA;SA-SO
LM-SE;SE-SO
LM-SF;SF-SO
LM-SM;SM-SO
LM-SS;SS-SO
LM-SU;SU-SO
LM-SV;SV-SO
LM-TF;TF-SO
LM-TH;TH-SO
LM-TO;TO-SO
LM-TU;TU-SO
LM-TV;TV-SO
LM-UE;UE-SO
LM-UF;UF-SO
LM-VF;VF-SO
LM-VI;VI-SO
LM-VM;VM-SO
LM-VS;VS-SO
LM-EB;EB-SO
LM-EB;K
LM-EC;EC-SO
LM-EC;K
LM-EI;EI-SO
LM-EI;K
LM-EU;EU-SO
LM-EU;K
LM-FV;FV-SO
LM-FV;K
LM-HE;HE-SO
LM-SI;SI-SO
LM-SI;K
LM-VA;VA-SO
LM-VA;K
LM-DW;DW-SO
LM-DT;DT-SO
KM-NF;NF-SI
KM-BA;BA-SI
TF-TP;TP-SI
TF-RA;RA-SO
TF-RD;RD-SO
TF-RK;RK-SO
TF-EK;K
TF-RR;K
TF-TH;K
TF-TK;K
TF-TU;K
RS-BT;K
RS-EO;EO-SO
RS-FI;K
RS-FK;K
RS-KO;B
RS-LL;K
RS-NE;K
RS-TE;K
RS-US;US-SO
RS-US;K
RS-VA;K
RS-VD;K
MD-BD;BD-SO
MD-BF;B
MD-BK;B
MD-BS;B
MD-FR;FR-SO
MD-MB;MB-SO
MD-SR;SR-SO
MD-AK;B
MD-LH;LH-SO
MD-LH;P6b
MO-DE;D0
MO-DE;T0
MO-ED;D0
MO-ED;T0
MO-EI;D0
MO-EI;T0
MO-EL;D0
MO-EL;T0
MO-EM;D0
MO-EM;T0
MO-ES;D0
MO-ES;T0
MO-FB;D0
MO-FB;T0
MO-KK;D0
MO-KK;T0
MO-KU;D0
MO-KU;T0
MO-TE;D0
MO-TE;T0
MO-UB;D0
MO-UB;T0
MO-UE;D0
MO-UE;T0
MO-VD;D0
MO-VD;T0
MO-VI;D0
MO-VI;T0
MO-VU;D0
MO-VU;T0
MO-II;D0
MO-II;T0
MO-IL;D0
MO-IL;T0
MO-IM;D0
MO-IM;T0
MO-IS;D0
MO-IS;T0
MO-MA;D0
MO-MA;T0
MO-ME;D0
MO-ME;T0
MO-OP;D0
MO-OP;T0
MO-BB;D0
MO-BB;T0
MO-BG;D0
MO-BG;T0
MO-BR;D0
MO-BR;T0
MO-BS;D0
MO-BS;T0
MO-BT;D0
MO-BT;T0
MO-BX;D0
MO-BX;T0
MO-FE;D0
MO-FE;T0
MO-GJ;D0
MO-GJ;T0
MO-GK;D0
MO-GK;T0
MO-GR;D0
MO-GR;T0
MO-GT;D0
MO-GT;T0
MO-HA;D0
MO-HA;T0
MO-KR;D0
MO-KR;T0
MO-MU;D0
MO-MU;T0
MO-RG;D0
MO-RG;T0
MO-SG;D0
MO-SG;T0
MO-SH;D0
MO-SH;T0
MO-SK;D0
MO-SK;T0
MO-TD;D0
MO-TD;T0
MO-TL;D0
MO-TL;T0
MO-TM;D0
MO-TM;T0
MO-TS;D0
MO-TS;T0
MO-VF;D0
MO-VF;T0
MO-VL;D0
MO-VL;T0
RM-AI;AI-SO
RM-JP;JP-SO
LM-BM;BM-SI
LM-HR;HR-SI
LM-MK;MK-SI
LM-MS;MS-SI
LM-MT;MT-SI
LM-MV;MV-SI
LM-MY;MY-SI
LM-KP;KP-SI
LM-KR;KR-SI
LM-HA;HA-SO
LM-HG;HG-SO
LM-HH;HH-SO
LM-HM;HM-SO
LM-HT;HT-SO
KM-FY;FY-SI
KM-MG;MG-SI
KM-AJ;AJ-SI
KM-AS;AS-SI
KM-HG;HG-SI
KM-HI;HI-SI
KM-HY;HY-SI
KM-SF;SF-SI
KM-UM;UM-SI
KM-KP;KP-SI
KM-KR;KR-SI
KM-OB;OB-SO
KM-SE;P6b
KM-TK;P6b
KM-BU;P6b
KM-AG;AG-SO
KM-AH;AH-SO
KM-AY;AY-SO
KM-BT;BT-SO
KM-HA;P6b
KM-DA;DA-SO
KM-DV;DV-SO
SA-FS;FS-SI
SA-VE;VE-SO
SA-AG;P6b
SA-AO;P6b
SA-AT;P6b
SA-AV;P6b
SA-BT;P6b
SA-CT;P6b
SA-DT;P6b
SA-ET;P6b
SA-FT;P6b
SA-GT;P6b
SA-HT;P6b
SA-AB;P6b
SA-AE;P6b
SA-AL;P6b
SA-AP;P6b
SA-BB;P6b
SA-BE;P6b
SA-BL;P6b
SA-BP;P6b
SA-CG;P6b
SA-CH;P6b
SA-CK;P6b
SA-CL;P6b
SA-DL;P6b
SA-DM;P6b
SA-HF;P6b
SA-HH;P6b
SA-HS;P6b
NO-G1;D0
NO-G1;T0
NO-G2;D0
NO-G2;T0
NO-G3;D0
NO-G3;T0
NO-G4;D0
NO-G4;T0
NO-G5;D0
NO-G5;T0
NO-G6;D0
NO-G6;T0
NO-G7;D0
NO-G7;T0
NO-G8;D0
NO-G8;T0
NO-GT;D0
NO-GT;T0
NO-L0;D0
NO-L0;T0
NO-L01;D0
NO-L01;T0
NO-L02;D0
NO-L02;T0
NO-L03;D0
NO-L03;T0
NO-L04;D0
NO-L04;T0
NO-L05;D0
NO-L05;T0
NO-L06;D0
NO-L06;T0
NO-L07;D0
NO-L07;T0
NO-L08;D0
NO-L08;T0
NO-L09;D0
NO-L09;T0
NO-L10;D0
NO-L10;T0
NO-L11;D0
NO-L11;T0
NO-L12;D0
NO-L12;T0
NO-L13;D0
NO-L13;T0
NO-LI;D0
NO-LI;T0
NO-LS;D0
NO-LS;T0
NO-LT;D0
NO-LT;T0
NO-GA-S;P6b
NO-GB;P6b
NO-GL;P6b
NO-LA-S;P6b
NO-LB;P6b
NO-LL;P6b
NO-TA;D0
NO-TA;T0
NO-AA;D0
NO-AA;T0
NO-AT-S;D0
NO-AT-S;T0
NO-XB;D0
NO-XB;T0
NO-XE;D0
NO-XE;T0
NO-XH;D0
NO-XH;T0
NO-XI;D0
NO-XI;T0
NO-XK;D0
NO-XK;T0
NO-XL;D0
NO-XL;T0
NO-XO;D0
NO-XO;T0
NO-XP;D0
NO-XP;T0
NO-XR;D0
NO-XR;T0
NO-XS;D0
NO-XS;T0
NO-XT;D0
NO-XT;T0
NO-M1;D0
NO-M1;T0
NO-M2;D0
NO-M2;T0
NO-M3;D0
NO-M3;T0
NO-M4;D0
NO-M4;T0
NO-M5;D0
NO-M5;T0
NO-MA;D0
NO-MA;T0
NO-MB;D0
NO-MB;T0
NO-MC;D0
NO-MC;T0
NO-MD;D0
NO-MD;T0
NO-S0;D0
NO-S0;T0
NO-S1;D0
NO-S1;T0
NO-S2;D0
NO-S2;T0
NO-S3;D0
NO-S3;T0
NO-S4;D0
NO-S4;T0
NO-S5;D0
NO-S5;T0
NO-S6;D0
NO-S6;T0
RA-BV-S;T0
RA-BV-S;B
RA-MB-S;P6a
RA-MB-S;P6c
RA-MB-S;B
RA-MO-S;B
RA-NB-S;B
RA-AE-S;P6b
RA-BE-S;P6b
AD-UT;UT-SI
AD-VD;VD-SI
AD-ØD;ØD-SI
AD-TP;TP-SI
MO-AL;D0
MO-AL;T0
MO-HE;D0
MO-HE;T0
MO-SL;D0
MO-SL;T0
MO-ST;D0
MO-ST;T0
RA-BD-S;B
AD-IE;IE-SO
AD-KU;KU-SO
AD-ST;ST-SO
AD-TE;TE-SO
AD-FA;D0
AD-FD;P6b
AD-FR;P6b
VS-SS_W;SS-SO
